word,count,average_count
control,32,0.03535911602209945
used,31,0.03425414364640884
spirit,31,0.03425414364640884
thing,31,0.03425414364640884
electric,30,0.03314917127071823
eye,30,0.03314917127071823
found,30,0.03314917127071823
apparently,30,0.03314917127071823
result,30,0.03314917127071823
wind,30,0.03314917127071823
anything,30,0.03314917127071823
lov,30,0.03314917127071823
full,30,0.03314917127071823
skin,29,0.032044198895027624
plac,29,0.032044198895027624
highly,29,0.032044198895027624
berri,29,0.032044198895027624
lightning,29,0.032044198895027624
warm,29,0.032044198895027624
nev,29,0.032044198895027624
hol,29,0.032044198895027624
sand,29,0.032044198895027624
every,28,0.030939226519337018
fly,28,0.030939226519337018
steel,28,0.030939226519337018
speci,28,0.030939226519337018
find,28,0.030939226519337018
let,28,0.030939226519337018
start,28,0.030939226519337018
fall,27,0.02983425414364641
scal,27,0.02983425414364641
may,27,0.02983425414364641
howev,27,0.02983425414364641
gath,27,0.02983425414364641
good,27,0.02983425414364641
way,27,0.02983425414364641
fast,27,0.02983425414364641
forc,26,0.028729281767955802
bit,26,0.028729281767955802
natur,26,0.028729281767955802
go,26,0.028729281767955802
jaw,26,0.028729281767955802
feet,26,0.028729281767955802
say,26,0.028729281767955802
fang,26,0.028729281767955802
car,26,0.028729281767955802
hug,26,0.028729281767955802
different,26,0.028729281767955802
born,25,0.027624309392265192
kick,25,0.027624309392265192
search,25,0.027624309392265192
making,25,0.027624309392265192
look,25,0.027624309392265192
thre,25,0.027624309392265192
seasom,24,0.026519337016574586
mountain,24,0.026519337016574586
absorb,24,0.026519337016574586
would,24,0.026519337016574586
abl,24,0.026519337016574586
horm,24,0.026519337016574586
part,24,0.026519337016574586
first,24,0.026519337016574586
seen,24,0.026519337016574586
are,24,0.026519337016574586
ston,24,0.026519337016574586
allow,23,0.02541436464088398
magm,23,0.02541436464088398
tell,23,0.02541436464088398
gigantamax,23,0.02541436464088398
cri,23,0.02541436464088398
movement,23,0.02541436464088398
alway,23,0.02541436464088398
tip,23,0.02541436464088398
meg,23,0.02541436464088398
generat,23,0.02541436464088398
heart,23,0.02541436464088398
spik,23,0.02541436464088398
acros,23,0.02541436464088398
surfac,22,0.02430939226519337
rum,22,0.02430939226519337
fac,22,0.02430939226519337
within,22,0.02430939226519337
legend,22,0.02430939226519337
often,22,0.02430939226519337
behind,22,0.02430939226519337
ago,22,0.02430939226519337
strik,22,0.02430939226519337
hand,21,0.023204419889502764
habitat,21,0.023204419889502764
spot,21,0.023204419889502764
nutrient,21,0.023204419889502764
spec,21,0.023204419889502764
creatur,21,0.023204419889502764
climat,21,0.023204419889502764
constantly,21,0.023204419889502764
need,21,0.023204419889502764
according,21,0.023204419889502764
surrounding,21,0.023204419889502764
be,21,0.023204419889502764
ord,21,0.023204419889502764
sky,21,0.023204419889502764
still,21,0.023204419889502764
quickly,21,0.023204419889502764
end,21,0.023204419889502764
easily,21,0.023204419889502764
branch,21,0.023204419889502764
thought,21,0.023204419889502764
clos,21,0.023204419889502764
hair,21,0.023204419889502764
belly,20,0.022099447513812154
hit,20,0.022099447513812154
punch,20,0.022099447513812154
siz,20,0.022099447513812154
hid,20,0.022099447513812154
shoot,20,0.022099447513812154
living,20,0.022099447513812154
feath,20,0.022099447513812154
pack,20,0.022099447513812154
bring,20,0.022099447513812154
territory,20,0.022099447513812154
black,20,0.022099447513812154
swim,20,0.022099447513812154
riv,20,0.022099447513812154
dang,20,0.022099447513812154
evolv,20,0.022099447513812154
se,19,0.020994475138121547
emit,19,0.020994475138121547
ent,19,0.020994475138121547
put,19,0.020994475138121547
touch,19,0.020994475138121547
heat,19,0.020994475138121547
stay,19,0.020994475138121547
lost,19,0.020994475138121547
stand,19,0.020994475138121547
help,19,0.020994475138121547
blast,19,0.020994475138121547
te,19,0.020994475138121547
flying,19,0.020994475138121547
ne,19,0.020994475138121547
field,19,0.020994475138121547
stop,19,0.020994475138121547
feel,19,0.020994475138121547
upon,19,0.020994475138121547
hot,19,0.020994475138121547
great,19,0.020994475138121547
smell,19,0.020994475138121547
danc,19,0.020994475138121547
ball,19,0.020994475138121547
shock,18,0.019889502762430938
along,18,0.019889502762430938
dig,18,0.019889502762430938
anoth,18,0.019889502762430938
though,18,0.019889502762430938
hisu,18,0.019889502762430938
snow,18,0.019889502762430938
seed,18,0.019889502762430938
feeling,18,0.019889502762430938
moving,18,0.019889502762430938
fighting,18,0.019889502762430938
intens,18,0.019889502762430938
col,18,0.019889502762430938
scatt,18,0.019889502762430938
soul,18,0.019889502762430938
show,18,0.019889502762430938
muscl,18,0.019889502762430938
wall,17,0.01878453038674033
sun,17,0.01878453038674033
horn,17,0.01878453038674033
bould,17,0.01878453038674033
sh,17,0.01878453038674033
fluid,17,0.01878453038674033
ocean,17,0.01878453038674033
group,17,0.01878453038674033
egg,17,0.01878453038674033
covered,17,0.01878453038674033
mil,17,0.01878453038674033
goe,17,0.01878453038674033
cam,17,0.01878453038674033
set,17,0.01878453038674033
ability,17,0.01878453038674033
stored,17,0.01878453038674033
dark,17,0.01878453038674033
bright,17,0.01878453038674033
plant,17,0.01878453038674033
capabl,17,0.01878453038674033
popul,17,0.01878453038674033
brain,17,0.01878453038674033
launch,17,0.01878453038674033
mph,16,0.017679558011049725
cloak,16,0.017679558011049725
work,16,0.017679558011049725
neck,16,0.017679558011049725
short,16,0.017679558011049725
sting,16,0.017679558011049725
metal,16,0.017679558011049725
bon,16,0.017679558011049725
re,16,0.017679558011049725
spac,16,0.017679558011049725
cav,16,0.017679558011049725
developed,16,0.017679558011049725
liquid,16,0.017679558011049725
vin,16,0.017679558011049725
pollen,16,0.017679558011049725
sac,16,0.017679558011049725
chest,16,0.017679558011049725
appearanc,16,0.017679558011049725
tru,16,0.017679558011049725
whol,16,0.017679558011049725
mal,16,0.017679558011049725
eating,16,0.017679558011049725
ear,16,0.017679558011049725
act,16,0.017679558011049725
disposition,15,0.016574585635359115
approach,15,0.016574585635359115
something,15,0.016574585635359115
want,15,0.016574585635359115
massiv,15,0.016574585635359115
deity,15,0.016574585635359115
singl,15,0.016574585635359115
favorit,15,0.016574585635359115
ris,15,0.016574585635359115
believ,15,0.016574585635359115
enemy,15,0.016574585635359115
bird,15,0.016574585635359115
moment,15,0.016574585635359115
